id	text	author_id	label	AID1	AID2	AID3
1301185102509150208	@Holger__P @bodymac @MW74027167 @TeamKenFM Eigentlich alle, da diese ja auch nicht in die Statistik der anderen Krankheiten als Todesursache eingehen. Sobald Corona gefunden wurde, ist dies der statistische Wert und das ist verzerrend.	1240683665237192706	not	not	nan	nan
1249374539982782480	@IngoRinken @Steinhoefel Corona ist keine Pest, ein Blick nach Schweden zeigt, dass es auch anders geht. Das setzt man auf Aufklärung und schürt nicht die Angst in der Bevölkerung. https://t.co/h8VUkCv2q4	1133875252113616896	not	not	nan	nan
1321824606525759488	@Karo9756 @MichaelStal @TeamKenFM Vielleicht könnte es ja daran liegen, dass es für Grippe Impfungen für Risikogruppen und jahrzehntelang etablierte Behandlungsmöglichkeiten gibt? In der spanischen Grippe und der Hongkonggrippe waren übrigens auch die Kinder die Treiber und die Schulen zu. 💁‍♂️	418068103	not	nan	not	nan
1350782890506911746	@realMampfi @MoNi_24680 @morocologne1 @CaroRackete Videotheken gab es doch schon vor Corona nicht mehr?! DVD schlägt VHS und Internetstreaming schlägt DVD  ok, ich hab Blu-ray vergessen... ;)	4514176462	not	not	nan	nan
1335674545324371969	@JulianRoepcke Wieso egal, Dass zuhause nun scheinbar mit Putins Sputnik geimpft werden soll, ohne, dass Tests abgeschlossen sind, weil man “erster” sein will - das hyped RT doch sehr.	42895605	not	not	nan	nan
1303941171903967233	@tagesschau 190.000 Amerikaner starben nach einer Covid Infektion. Mindestens 1,9 Mio Amerikaner starben dieses Jahr nach einer Herpes Infektion ! ! ! 😱	1289653757312106498	not	not	nan	nan
1321491963493912577	"@SBartsch Ersteres nehme ich zur Kenntnis.  Letzteres habe ich auch nie behauptet, noch bestritten.  Fakt ist: Nicht jeder angebliche Coronatote starb ""an"" #Corona, aber 100%ig alle MIT Corona. Nicht meine Definition, sondern Gesetzeslage"	15195366	not	not	nan	nan
1329468845912952832	@nulleberg Habe ich schon hinter mir , nicht in Wuhan aber immerhin	1220733396860768256	not	not	nan	nan
1299747959207231489	@TeamKenFM .... alle inhaltlich Top ... ich denke nicht eine einzige - aber das ist ja das schöne, jeder kann sich äussern und am Ende stimmen wir dann ab und die Mehrheit gewinnt.	700682089293742080	not	nan	not	nan
1301415575118381056	@TeamKenFM Sowas darf sich Medizinerin nennen 🤦🏻‍♂️	1257308529712480260	abusive	abusive	nan	nan
1294273625873424386	@My_little_Dread @kampfkewob @PSYCH0THERAPlST @BSchnei05558079 @TeamKenFM Achso, fällt mir gerade auf, wenn Du so, was korrekt ist, argumentierst, warum fällt es Dir dann nicht auf, wenn es um die Kontaminierten geht und deren fehlenden Bezug zu den Getesteten. Ist dasselbe in grün. Fehlt Dir die Bezugsgröße, haben die Zahlen wenig bis keine Aussagekr.	1240683665237192706	not	not	nan	nan
1347824812392112129	@Luhmi3 @COMPACTMagazin und das bei einer Sterblichkeit von 0,3% das muss man sich mal geben...	1077603056848723970	not	not	nan	nan
1284441012237197312	@KaPri11782464 @Karl_Lauterbach Warum muss ich dann eine Maske tragen wenn die #heinerultras keine angst bzw. Panik haben, sich mit Corona anzustecken? Warum werden die Urlauber in Mallorca stigmatisiert als unverantwortliche Säufer - als ob sie die Pest mit sich bringen würden.	1240329826071916544	not	not	nan	nan
1349251430964670464	@welt Pro Einwohner hat Deutschland mehr Corona Tote als die USA An den Händen von Versagern wie Spahn klebt Blut https://t.co/1Cu62HXAF5	1239676876014202892	abusive	abusive	nan	nan
