text	task_1	task_2	text_id
Deutsche rothaarige porno reife deutsche frauen porno. Deutsche politessen pornos porno deutsch inzets. https://t.co/xAag87Y0Jd	NOT	NONE	hasoc_2020_de_2684
RT @NDRinfo: Die deutsche Klimaaktivistin Luisa Neubauer wirft Kanzlerin Merkel wegen ihrer fehlenden Unterstützung für den europäischen Kl…	NOT	NONE	hasoc_2020_de_1042
@ruhrbahn jeden Morgen eine neue „Fahrzeugstörung“, ihr seid einfach nur zum Kotzen	NOT	NONE	hasoc_2020_de_774
@Junge_Freiheit Die Inkas hatten sich schon dämlich angestellt, bei den spanischen Eindringlingen, aber der Deutsche toppt dann doch alles	NOT	NONE	hasoc_2020_de_559
RT @technosteron: leute die 'boar' schreiben lassen sich bestimmt auch von ihren analphabetischen Vater in arsch ficken	HOF	PRFN	hasoc_2020_de_1969
ich habe mir gerade diese dorne aus meinem arsch gezogen https://t.co/x40mpKgBZN	HOF	PRFN	hasoc_2020_de_2926
RT @Schrammi44: Er ist einfach der GOAT @Bouncaay https://t.co/bb9b5SWaKi	NOT	NONE	hasoc_2020_de_2994
KFM Deutsche Mittelstand AG: Deutscher Mittelstandsanleihen FONDS zeichnet neue Hörmann-Anleihe mit Mindest-Kupon 4… https://t.co/5HeRedf9cx	NOT	NONE	hasoc_2020_de_1574
@mentalshards_ ich will jetzt nicht offenden oder so, ich will einfach nur, das die scheiße weniger wird	HOF	PRFN	hasoc_2020_de_1480
RT @SteinbachErika: Einfach skandalös! https://t.co/dC5NXFbviQ	NOT	NONE	hasoc_2020_de_3224
"""Das geht nicht.""
""Doch. Zugreifen!""

Ach halt doch die Fresse. Scheiß Werbung."	HOF	PRFN	hasoc_2020_de_410
"@holzraspler @Apple @Botometer Ja Touchbar da kotzen die meisten, unnötig wie sau
Xcode: seit 2003 aber egal… https://t.co/BQnklEeDMw"	NOT	NONE	hasoc_2020_de_3441
XXL weights pack v1.1.1.0 FS19 https://t.co/zTpqTSGujE	NOT	NONE	hasoc_2020_de_1685
